Thousand Oaks - 5395016
Available Units - As Of Property Date: 03/17/2026

Parameters: Needed by date - 03/17/2026; 
Accessibility: M-Mobility; H-Hearing; V-Vision

Unit,Amenity,Floor Plan,Floor Plan Group,Rentable Sq Ft,Status,Available Date,Move-In Ready Date,Specials,Deposit,Price,Best Price,Accessibility
 Unit 4-26-0417,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,04/01/2025,09/30/2024,3,0.0000,1679,1679,
 Unit 5-12-0307,27 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant ready,04/01/2025,03/28/2025,3,0.0000,1491,1491,
 Unit 5-18-0238,26 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant ready,06/09/2025,06/18/2025,3,0.0000,1422,1422,
 Unit 3-09-0208,23 Of 102, 3a5 - 3a5, 1x1 - One bedroom one bath,736 Sq ft.,Vacant ready,06/23/2025,07/17/2025,2,0.0000,1369,1369,
 Unit 4-23-0321,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,07/01/2025,08/01/2025,3,0.0000,1536,1536,
 Unit 4-26-0304,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,07/05/2025,03/15/2026,2,0.0000,1662,1662,
 Unit 8-01-3001,28 Of 102, 8A5.2HC - 8A5.2HC, 1x1 - One bedroom one bath,768 Sq ft.,Vacant ready,07/08/2025,07/22/2025,3,0.0000,1543,1543,
 Unit 3-17-0311,22 Of 102, 3b2-1 - 3b2-1," 2x2 - Two bedroom, two bath",1125 Sq ft.,Vacant ready,07/29/2025,08/27/2025,3,0.0000,2116,1818,
 Unit 4-16-5793,21 Of 102, 4d1thgg - 4d1thgg," 4x3 - Four bedroom, 3 bath",2263 Sq ft.,Vacant ready,08/06/2025,03/18/2026,3,0.0000,3331,3244,
 Unit 4-26-0404,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,08/31/2025,03/06/2026,3,0.0000,1657,1657,
 Unit 8-01-2001,28 Of 102, 8A5.2HC - 8A5.2HC, 1x1 - One bedroom one bath,768 Sq ft.,Vacant ready,09/14/2025,09/25/2025,3,0.0000,1553,1553,
