Thousand Oaks - 5395016
Available Units - As Of Property Date: 02/14/2026

Parameters: Needed by date - 02/15/2026; 
Accessibility: M-Mobility; H-Hearing; V-Vision

Unit,Amenity,Floor Plan,Floor Plan Group,Rentable Sq Ft,Status,Available Date,Move-In Ready Date,Specials,Deposit,Price,Best Price,Accessibility
 Unit 4-26-0417,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,04/01/2025,09/30/2024,2,0.0000,1666,1666,
 Unit 5-12-0307,27 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant ready,04/01/2025,03/28/2025,2,0.0000,1612,1612,
 Unit 5-18-0238,26 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant ready,06/09/2025,06/18/2025,2,0.0000,1543,1543,
 Unit 3-09-0208,23 Of 102, 3a5 - 3a5, 1x1 - One bedroom one bath,736 Sq ft.,Vacant ready,06/23/2025,07/17/2025,3,0.0000,1356,1356,
 Unit 4-23-0321,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,07/01/2025,08/01/2025,2,0.0000,1523,1523,
 Unit 4-26-0304,25 Of 102, 4a4 - 4a4, 1x1 - One bedroom one bath,927 Sq ft.,Vacant ready,07/05/2025,09/08/2025,2,0.0000,1622,1622,
 Unit 8-01-3001,28 Of 102, 8A5.2HC - 8A5.2HC, 1x1 - One bedroom one bath,768 Sq ft.,Vacant ready,07/08/2025,07/22/2025,2,0.0000,1664,1664,
 Unit 3-17-0311,22 Of 102, 3b2-1 - 3b2-1," 2x2 - Two bedroom, two bath",1125 Sq ft.,Vacant ready,07/29/2025,08/27/2025,3,0.0000,1845,1845,
 Unit 5-18-0422,25 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant ready,07/31/2025,11/24/2025,2,0.0000,1464,1464,
 Unit 4-16-5793,21 Of 102, 4d1thgg - 4d1thgg," 4x3 - Four bedroom, 3 bath",2263 Sq ft.,Vacant ready,08/06/2025,09/12/2025,2,0.0000,3693,3040,
 Unit 8-01-2001,28 Of 102, 8A5.2HC - 8A5.2HC, 1x1 - One bedroom one bath,768 Sq ft.,Vacant ready,09/14/2025,09/25/2025,2,0.0000,1674,1674,
 Unit 3-33-0310,22 Of 102, 3b2-2 - 3b2-2," 2x2 - Two bedroom, two bath",1146 Sq ft.,Vacant ready,09/21/2025,10/20/2025,3,0.0000,1766,1766,
 Unit 3-18-0304,22 Of 102, 3b2-2 - 3b2-2," 2x2 - Two bedroom, two bath",1146 Sq ft.,Vacant ready,09/26/2025,10/20/2025,3,0.0000,1864,1864,
 Unit 4-22-0208,25 Of 102, 4a3 - 4a3, 1x1 - One bedroom one bath,780 Sq ft.,Vacant ready,09/27/2025,10/21/2025,2,0.0000,1484,1484,
 Unit 5-15-0305,23 Of 102, 5a4 - 5a4, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,10/09/2025,12/11/2025,2,0.0000,1366,1366,
 Unit 4-18-5777,21 Of 102, 4d1thgg - 4d1thgg," 4x3 - Four bedroom, 3 bath",2263 Sq ft.,Vacant ready,10/11/2025,11/11/2025,2,0.0000,3693,3040,
 Unit 3-01-0302,24 Of 102, 3b3-1 - 3b3-1," 2x2 - Two bedroom, two bath",1183 Sq ft.,Vacant ready,10/14/2025,10/28/2025,3,0.0000,1840,1840,
 Unit 5-18-0222,25 Of 102, 5a5 - 5a5, 1x1 - One bedroom one bath,750 Sq ft.,Vacant ready,10/16/2025,10/24/2025,2,0.0000,1469,1469,
 Unit 3-08-0207,24 Of 102, 3a5 - 3a5, 1x1 - One bedroom one bath,736 Sq ft.,Vacant ready,10/23/2025,11/03/2025,3,0.0000,1331,1331,
 Unit 4-21-0224,24 Of 102, 4a2 - 4a2, 1x1 - One bedroom one bath,672 Sq ft.,Vacant ready,10/28/2025,11/11/2025,2,0.0000,1331,1331,
